"","Player","pay","Year","Pos","Age","Tm","G","MP","PER","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","MPG","PPG","APG","RPG","TOPG","BPG","SPG","weight","height"
"352","Shelvin Mack",6e+06,2017,"PG",26,"UTA",55,1205,10.9,170,381,0.446,37,120,0.308,133,261,0.51,0.495,53,77,0.688,20,108,128,154,42,3,90,100,430,21.9090909090909,7.81818181818182,2.8,2.32727272727273,1.63636363636364,0.0545454545454545,0.763636363636364,203,75
"353","Skal Labissiere",1312611,2017,"PF",20,"SAC",33,612,16.8,117,218,0.537,3,8,0.375,114,210,0.543,0.544,52,74,0.703,51,111,162,27,16,13,37,64,289,18.5454545454545,8.75757575757576,0.818181818181818,4.90909090909091,1.12121212121212,0.393939393939394,0.484848484848485,225,83
"354","Solomon Hill",12236535,2017,"SF",25,"NOP",80,2374,8,183,477,0.384,94,270,0.348,89,207,0.43,0.482,103,128,0.805,51,256,307,141,71,32,82,182,563,29.675,7.0375,1.7625,3.8375,1.025,0.4,0.8875,225,79
"355","Spencer Dinwiddie",1524305,2017,"PG",23,"BRK",59,1334,12.7,134,302,0.444,38,101,0.376,96,201,0.478,0.507,126,159,0.792,27,137,164,185,44,23,66,119,432,22.6101694915254,7.32203389830508,3.13559322033898,2.77966101694915,1.11864406779661,0.389830508474576,0.745762711864407,200,78
"356","Spencer Hawes",6021175,2017,"PF",28,"TOT",54,797,15.6,134,277,0.484,25,81,0.309,109,196,0.556,0.529,44,52,0.846,38,153,191,81,15,30,49,77,337,14.7592592592593,6.24074074074074,1.5,3.53703703703704,0.907407407407407,0.555555555555556,0.277777777777778,245,85
"357","Stanley Johnson",3097800,2017,"SF",20,"DET",77,1371,7.2,129,365,0.353,45,154,0.292,84,211,0.398,0.415,36,53,0.679,36,153,189,105,56,24,71,121,339,17.8051948051948,4.4025974025974,1.36363636363636,2.45454545454545,0.922077922077922,0.311688311688312,0.727272727272727,245,79
"358","Stephen Curry",34682550,2017,"PG",28,"GSW",79,2638,24.6,675,1443,0.468,324,789,0.411,351,654,0.537,0.58,325,362,0.898,61,292,353,523,143,17,239,183,1999,33.3924050632911,25.3037974683544,6.62025316455696,4.46835443037975,3.0253164556962,0.215189873417722,1.81012658227848,190,75
"359","Stephen Zimmerman",1312611,2017,"C",20,"ORL",19,108,7.3,10,31,0.323,0,0,NA,10,31,0.323,0.323,3,5,0.6,11,24,35,4,2,5,3,17,23,5.68421052631579,1.21052631578947,0.210526315789474,1.84210526315789,0.157894736842105,0.263157894736842,0.105263157894737,240,84
"360","Steven Adams",22471910,2017,"C",23,"OKC",80,2389,16.5,374,655,0.571,0,1,0,374,654,0.572,0.571,157,257,0.611,282,333,615,86,88,78,146,195,905,29.8625,11.3125,1.075,7.6875,1.825,0.975,1.1,255,84
"361","T.J. McConnell",1471382,2017,"PG",24,"PHI",81,2133,13.7,236,512,0.461,11,55,0.2,225,457,0.492,0.472,73,90,0.811,39,212,251,534,134,10,159,139,556,26.3333333333333,6.8641975308642,6.59259259259259,3.09876543209877,1.96296296296296,0.123456790123457,1.65432098765432,200,74
"362","T.J. Warren",3152931,2017,"SF",23,"PHO",66,2048,15.6,403,814,0.495,26,98,0.265,377,716,0.527,0.511,119,154,0.773,125,214,339,75,76,39,57,175,951,31.030303030303,14.4090909090909,1.13636363636364,5.13636363636364,0.863636363636364,0.590909090909091,1.15151515151515,230,80
"363","Taj Gibson",1.4e+07,2017,"PF",31,"TOT",78,1989,15.1,365,709,0.515,3,13,0.231,362,696,0.52,0.517,113,158,0.715,158,328,486,73,42,66,105,163,846,25.5,10.8461538461538,0.935897435897436,6.23076923076923,1.34615384615385,0.846153846153846,0.538461538461538,225,81
"364","Tarik Black",3290000,2017,"C",25,"LAL",67,1091,15,150,294,0.51,1,2,0.5,149,292,0.51,0.512,82,109,0.752,143,199,342,39,30,44,58,173,383,16.2835820895522,5.71641791044776,0.582089552238806,5.1044776119403,0.865671641791045,0.656716417910448,0.447761194029851,250,81
"365","Taurean Waller-Prince",2422560,2017,"SF",22,"ATL",59,981,9.8,114,285,0.4,33,102,0.324,81,183,0.443,0.458,74,94,0.787,25,132,157,55,43,27,61,96,335,16.6271186440678,5.67796610169492,0.932203389830508,2.66101694915254,1.03389830508475,0.457627118644068,0.728813559322034,220,80
"366","Terrence Ross",10500000,2017,"SF",25,"TOT",78,1955,13.4,326,746,0.437,142,391,0.363,184,355,0.518,0.532,64,77,0.831,18,189,207,88,88,33,68,143,858,25.0641025641026,11,1.12820512820513,2.65384615384615,0.871794871794872,0.423076923076923,1.12820512820513,206,79
"367","Terry Rozier",1988520,2017,"PG",22,"BOS",74,1263,10.8,151,411,0.367,57,179,0.318,94,232,0.405,0.437,51,66,0.773,40,187,227,131,45,11,47,69,410,17.0675675675676,5.54054054054054,1.77027027027027,3.06756756756757,0.635135135135135,0.148648648648649,0.608108108108108,190,74
"368","Thabo Sefolosha",5250000,2017,"SF",32,"ATL",62,1596,11.9,174,395,0.441,41,120,0.342,133,275,0.484,0.492,55,75,0.733,54,216,270,107,96,31,58,97,444,25.741935483871,7.16129032258065,1.7258064516129,4.35483870967742,0.935483870967742,0.5,1.54838709677419,220,79
"369","Thaddeus Young",14796348,2017,"PF",28,"IND",74,2237,14.9,362,687,0.527,45,118,0.381,317,569,0.557,0.56,45,86,0.523,131,318,449,122,114,30,96,135,814,30.2297297297297,11,1.64864864864865,6.06756756756757,1.2972972972973,0.405405405405405,1.54054054054054,221,80
"370","Thon Maker",2684160,2017,"C",19,"MIL",57,562,14,83,181,0.459,28,74,0.378,55,107,0.514,0.536,32,49,0.653,40,74,114,23,10,26,17,84,226,9.85964912280702,3.96491228070175,0.403508771929825,2,0.298245614035088,0.456140350877193,0.175438596491228,216,85
"371","Tim Frazier",2e+06,2017,"PG",26,"NOP",65,1525,12.4,163,404,0.403,40,128,0.313,123,276,0.446,0.453,98,129,0.76,34,139,173,335,56,6,101,133,464,23.4615384615385,7.13846153846154,5.15384615384615,2.66153846153846,1.55384615384615,0.0923076923076923,0.861538461538462,170,73
